Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Two trains of lengths 290 m and 230 m are running in opposite directions on parallel tracks at 49 km/hr and 41 km/hr respectively. The time taken to cross each other is approximately:;23.3 sec;20.8 sec;31.2 sec;19.55 sec;B,,,,,,,,
A can do a piece of work in 21 days and B can do the same work in 27 days. How many days will they take to complete the work together?;10.31 days;11.81 days;48 days;13.81 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 30 and Rs. 47 per kg respectively so as to get a mixture worth Rs. 36 per kg?;6:11;11:6;12:6;11:7;B,,,,,,,,
A bag contains 13 blue and 7 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;6/20;7/20;1/20;13/20;B,,,,,,,,
Find the simple interest on Rs. 17600 at 15% per annum for 6 years.;16090;16000;15840;15590;C,,,,,,,,
Two trains of lengths 130 m and 240 m are running in opposite directions on parallel tracks at 50 km/hr and 69 km/hr respectively. The time taken to cross each other is approximately:;13.69 sec;11.19 sec;16.79 sec;9.94 sec;B,,,,,,,,
A can do a piece of work in 15 days and B can do the same work in 23 days. How many days will they take to complete the work together?;38 days;9.08 days;11.08 days;7.58 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 26 and Rs. 59 per kg respectively so as to get a mixture worth Rs. 44 per kg?;18:15;15:18;16:18;15:19;B,,,,,,,,
A bag contains 14 red and 6 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;6/20;2/20;5/20;14/20;A,,,,,,,,
Find the simple interest on Rs. 35800 at 11% per annum for 8 years.;31404;31504;32164;31764;B,,,,,,,,
Two trains of lengths 190 m and 160 m are running in opposite directions on parallel tracks at 78 km/hr and 76 km/hr respectively. The time taken to cross each other is approximately:;6.93 sec;8.18 sec;10.68 sec;12.27 sec;B,,,,,,,,
A can do a piece of work in 20 days and B can do the same work in 21 days. How many days will they take to complete the work together?;10.24 days;8.74 days;41 days;12.24 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 28 and Rs. 55 per kg respectively so as to get a mixture worth Rs. 43 per kg?;12:16;13:15;12:15;15:12;C,,,,,,,,
A bag contains 4 black and 12 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;4/16;11/16;12/16;15/16;C,,,,,,,,
Find the simple interest on Rs. 60300 at 9% per annum for 3 years.;16281;16551;15901;16461;A,,,,,,,,
Two trains of lengths 300 m and 100 m are running in opposite directions on parallel tracks at 62 km/hr and 55 km/hr respectively. The time taken to cross each other is approximately:;18.46 sec;14.81 sec;12.31 sec;11.06 sec;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 23 and Rs. 75 per kg respectively so as to get a mixture worth Rs. 58 per kg?;18:35;17:36;35:17;17:35;D,,,,,,,,
A bag contains 13 red and 7 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;13/20;6/20;4/20;7/20;D,,,,,,,,
Find the simple interest on Rs. 62100 at 10% per annum for 7 years.;43140;43580;43470;44100;C,,,,,,,,
Two trains of lengths 290 m and 290 m are running in opposite directions on parallel tracks at 76 km/hr and 57 km/hr respectively. The time taken to cross each other is approximately:;18.2 sec;23.55 sec;14.45 sec;15.7 sec;D,,,,,,,,
A can do a piece of work in 19 days and B can do the same work in 33 days. How many days will they take to complete the work together?;12.06 days;10.56 days;14.06 days;52 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 28 and Rs. 76 per kg respectively so as to get a mixture worth Rs. 64 per kg?;12:37;36:12;12:36;13:36;C,,,,,,,,
A bag contains 3 blue and 15 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;15/18;17/18;3/18;14/18;A,,,,,,,,
Find the simple interest on Rs. 80100 at 8% per annum for 4 years.;25352;25942;25822;25632;D,,,,,,,,
Two trains of lengths 210 m and 170 m are running in opposite directions on parallel tracks at 67 km/hr and 49 km/hr respectively. The time taken to cross each other is approximately:;14.29 sec;11.79 sec;10.54 sec;17.68 sec;B,,,,,,,,
A can do a piece of work in 27 days and B can do the same work in 17 days. How many days will they take to complete the work together?;8.93 days;12.43 days;10.43 days;44 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 24 and Rs. 76 per kg respectively so as to get a mixture worth Rs. 46 per kg?;22:30;30:23;31:22;30:22;D,,,,,,,,
A bag contains 10 red and 8 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;8/18;7/18;9/18;10/18;A,,,,,,,,
Find the simple interest on Rs. 70200 at 12% per annum for 4 years.;33346;33986;34246;33696;D,,,,,,,,
Two trains of lengths 140 m and 200 m are running in opposite directions on parallel tracks at 46 km/hr and 61 km/hr respectively. The time taken to cross each other is approximately:;17.16 sec;11.44 sec;13.94 sec;10.19 sec;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 18 and Rs. 52 per kg respectively so as to get a mixture worth Rs. 28 per kg?;25:10;10:24;24:11;24:10;D,,,,,,,,
A bag contains 13 red and 5 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;9/18;4/18;5/18;13/18;C,,,,,,,,
Find the simple interest on Rs. 15700 at 12% per annum for 5 years.;9230;9560;9780;9420;D,,,,,,,,
Two trains of lengths 180 m and 210 m are running in opposite directions on parallel tracks at 65 km/hr and 70 km/hr respectively. The time taken to cross each other is approximately:;9.15 sec;15.6 sec;10.4 sec;12.9 sec;C,,,,,,,,
A can do a piece of work in 12 days and B can do the same work in 26 days. How many days will they take to complete the work together?;6.71 days;8.21 days;38 days;10.21 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 19 and Rs. 50 per kg respectively so as to get a mixture worth Rs. 37 per kg?;14:18;18:13;13:18;13:19;C,,,,,,,,
A bag contains 10 blue and 15 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;15/25;14/25;10/25;7/25;A,,,,,,,,
Find the simple interest on Rs. 56300 at 15% per annum for 3 years.;25335;25575;24865;26035;A,,,,,,,,
Two trains of lengths 250 m and 140 m are running in opposite directions on parallel tracks at 72 km/hr and 78 km/hr respectively. The time taken to cross each other is approximately:;8.11 sec;9.36 sec;14.04 sec;11.86 sec;B,,,,,,,,
A can do a piece of work in 28 days and B can do the same work in 21 days. How many days will they take to complete the work together?;49 days;14.0 days;10.5 days;12.0 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 30 and Rs. 48 per kg respectively so as to get a mixture worth Rs. 37 per kg?;12:7;11:8;7:11;11:7;D,,,,,,,,
A bag contains 13 black and 3 green balls. One ball is drawn at random. What is the probability that the ball drawn is green?;2/16;13/16;3/16;14/16;C,,,,,,,,
Find the simple interest on Rs. 78100 at 10% per annum for 4 years.;31420;31240;32000;30990;B,,,,,,,,
Two trains of lengths 280 m and 220 m are running in opposite directions on parallel tracks at 68 km/hr and 79 km/hr respectively. The time taken to cross each other is approximately:;14.74 sec;18.36 sec;12.24 sec;10.99 sec;C,,,,,,,,
A can do a piece of work in 30 days and B can do the same work in 36 days. How many days will they take to complete the work together?;18.36 days;16.36 days;14.86 days;66 days;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 29 and Rs. 59 per kg respectively so as to get a mixture worth Rs. 42 per kg?;18:13;13:17;17:13;17:14;C,,,,,,,,
A bag contains 4 red and 15 white balls. One ball is drawn at random. What is the probability that the ball drawn is white?;15/19;3/19;4/19;14/19;A,,,,,,,,
Find the simple interest on Rs. 45400 at 5% per annum for 8 years.;17990;18750;18160;18290;C,,,,,,,,
Two trains of lengths 180 m and 120 m are running in opposite directions on parallel tracks at 44 km/hr and 73 km/hr respectively. The time taken to cross each other is approximately:;7.98 sec;9.23 sec;13.85 sec;11.73 sec;B,,,,,,,,
A can do a piece of work in 12 days and B can do the same work in 21 days. How many days will they take to complete the work together?;33 days;9.64 days;7.64 days;6.14 days;C,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 30 and Rs. 60 per kg respectively so as to get a mixture worth Rs. 45 per kg?;15:15;10:10;15:16;16:15;A,,,,,,,,
A bag contains 12 red and 5 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;5/17;4/17;6/17;12/17;A,,,,,,,,
Find the simple interest on Rs. 82200 at 16% per annum for 4 years.;52608;52828;52808;52138;A,,,,,,,,
Two trains of lengths 220 m and 200 m are running in opposite directions on parallel tracks at 57 km/hr and 57 km/hr respectively. The time taken to cross each other is approximately:;12.01 sec;19.89 sec;13.26 sec;15.76 sec;C,,,,,,,,
A can do a piece of work in 29 days and B can do the same work in 38 days. How many days will they take to complete the work together?;16.45 days;67 days;18.45 days;14.95 days;A,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 18 and Rs. 56 per kg respectively so as to get a mixture worth Rs. 39 per kg?;18:21;21:17;17:22;17:21;D,,,,,,,,
A bag contains 8 black and 14 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;13/22;4/22;14/22;8/22;C,,,,,,,,
Find the simple interest on Rs. 62000 at 8% per annum for 4 years.;19970;19590;20120;19840;D,,,,,,,,
Two trains of lengths 280 m and 230 m are running in opposite directions on parallel tracks at 46 km/hr and 45 km/hr respectively. The time taken to cross each other is approximately:;18.93 sec;20.18 sec;22.68 sec;30.27 sec;B,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 17 and Rs. 52 per kg respectively so as to get a mixture worth Rs. 38 per kg?;15:21;14:22;21:14;14:21;D,,,,,,,,
A bag contains 14 blue and 12 yellow balls. One ball is drawn at random. What is the probability that the ball drawn is yellow?;11/26;12/26;14/26;8/26;B,,,,,,,,
Find the simple interest on Rs. 57200 at 18% per annum for 5 years.;51820;51070;51890;51480;D,,,,,,,,
Two trains of lengths 190 m and 240 m are running in opposite directions on parallel tracks at 74 km/hr and 40 km/hr respectively. The time taken to cross each other is approximately:;16.08 sec;13.58 sec;12.33 sec;20.37 sec;B,,,,,,,,
A can do a piece of work in 18 days and B can do the same work in 25 days. How many days will they take to complete the work together?;43 days;12.47 days;8.97 days;10.47 days;D,,,,,,,,
In what ratio must a grocer mix two varieties of items costing Rs. 20 and Rs. 76 per kg respectively so as to get a mixture worth Rs. 48 per kg?;4:8;28:29;29:28;28:28;D,,,,,,,,
There are two examination rooms A and B. If 7 students are sent from A to B, then the number of students in each room is the same. If 38 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;150;152;137;142;D,,,,,,,,
If a - b = 4 and a² + b² = 40, find the value of ab.;21;12;2;23;B,,,,,,,,
The salaries A, B, and C are in the ratio 3:5:6. If increments of 25%, 40%, and 40% are allowed in their salaries, then what will be the new ratio of their salaries?;76:140:168;75:140:168;75:139:168;80:139:173;B,,,,,,,,
A flagstaff 14 m high casts a shadow of length 35 m. The height of a building, which casts a shadow of length 40 m under similar conditions, will be:;16 m;18 m;13.5 m;17.5 m;A,,,,,,,,
The price of commodity X increases by 38 paise every year, while the price of commodity Y increases by 10 paise every year. If in 2015, the price of commodity X was Rs. 3.14 and that of Y was Rs. 5.80, in which year will commodity X cost 98 paise more than commodity Y?;2028;2029;2027;2030;A,,,,,,,,
There are two examination rooms A and B. If 45 students are sent from A to B, then the number of students in each room is the same. If 49 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;342;304;308;327;D,,,,,,,,
If a - b = 4 and a² + b² = 586, find the value of ab.;276;280;290;285;D,,,,,,,,
The salaries A, B, and C are in the ratio 4:6:7. If increments of 50%, 25%, and 50% are allowed in their salaries, then what will be the new ratio of their salaries?;4:4:7;5:5:7;4:5:7;4:9:5;C,,,,,,,,
A flagstaff 18 m high casts a shadow of length 36 m. The height of a building, which casts a shadow of length 60 m under similar conditions, will be:;27.5 m;31.5 m;28 m;30 m;D,,,,,,,,
The price of commodity X increases by 35 paise every year, while the price of commodity Y increases by 10 paise every year. If in 2001, the price of commodity X was Rs. 3.67 and that of Y was Rs. 5.52, in which year will commodity X cost 65 paise more than commodity Y?;2012;2010;2011;2008;C,,,,,,,,
There are two examination rooms A and B. If 30 students are sent from A to B, then the number of students in each room is the same. If 30 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;218;200;210;177;C,,,,,,,,
The salaries A, B, and C are in the ratio 5:6:7. If increments of 15%, 10%, and 50% are allowed in their salaries, then what will be the new ratio of their salaries?;120:133:215;116:132:210;115:132:210;115:131:210;C,,,,,,,,
A flagstaff 29 m high casts a shadow of length 43.5 m. The height of a building, which casts a shadow of length 54 m under similar conditions, will be:;36 m;39 m;33.5 m;37.5 m;A,,,,,,,,
The price of commodity X increases by 55 paise every year, while the price of commodity Y increases by 21 paise every year. If in 2012, the price of commodity X was Rs. 3.97 and that of Y was Rs. 6.44, in which year will commodity X cost 25 paise more than commodity Y?;2019;2016;2020;2021;C,,,,,,,,
There are two examination rooms A and B. If 25 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;145;179;160;155;C,,,,,,,,
If a - b = 2 and a² + b² = 20, find the value of ab.;2;11;8;3;C,,,,,,,,
The salaries A, B, and C are in the ratio 4:7:9. If increments of 40%, 25%, and 20% are allowed in their salaries, then what will be the new ratio of their salaries?;112:175:216;113:175:216;112:174:216;113:176:221;A,,,,,,,,
A flagstaff 28 m high casts a shadow of length 56 m. The height of a building, which casts a shadow of length 64 m under similar conditions, will be:;32 m;34 m;29.5 m;33.5 m;A,,,,,,,,
The price of commodity X increases by 53 paise every year, while the price of commodity Y increases by 18 paise every year. If in 1998, the price of commodity X was Rs. 5.33 and that of Y was Rs. 7.46, in which year will commodity X cost 207 paise more than commodity Y?;2009;2010;2011;2013;B,,,,,,,,
There are two examination rooms A and B. If 46 students are sent from A to B, then the number of students in each room is the same. If 6 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;185;238;215;202;D,,,,,,,,
If a - b = 6 and a² + b² = 356, find the value of ab.;154;166;168;160;D,,,,,,,,
The salaries A, B, and C are in the ratio 1:5:6. If increments of 40%, 10%, and 15% are allowed in their salaries, then what will be the new ratio of their salaries?;15:55:69;14:54:69;14:55:69;18:58:66;C,,,,,,,,
A flagstaff 14 m high casts a shadow of length 25.2 m. The height of a building, which casts a shadow of length 30.6 m under similar conditions, will be:;17 m;15 m;14.5 m;18.5 m;A,,,,,,,,
The price of commodity X increases by 30 paise every year, while the price of commodity Y increases by 16 paise every year. If in 2015, the price of commodity X was Rs. 5.26 and that of Y was Rs. 6.44, in which year will commodity X cost 8 paise more than commodity Y?;2023;2027;2024;2025;C,,,,,,,,
There are two examination rooms A and B. If 11 students are sent from A to B, then the number of students in each room is the same. If 40 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;171;139;164;144;C,,,,,,,,
If a - b = 4 and a² + b² = 296, find the value of ab.;140;150;130;137;A,,,,,,,,
The salaries A, B, and C are in the ratio 1:5:8. If increments of 15%, 30%, and 30% are allowed in their salaries, then what will be the new ratio of their salaries?;23:130:208;23:129:208;21:131:213;24:130:208;A,,,,,,,,
A flagstaff 12 m high casts a shadow of length 18 m. The height of a building, which casts a shadow of length 37.5 m under similar conditions, will be:;26.5 m;25 m;28 m;22.5 m;B,,,,,,,,
The price of commodity X increases by 31 paise every year, while the price of commodity Y increases by 25 paise every year. If in 2013, the price of commodity X was Rs. 2.69 and that of Y was Rs. 4.45, in which year will commodity X cost 4 paise more than commodity Y?;2042;2045;2043;2044;C,,,,,,,,
There are two examination rooms A and B. If 18 students are sent from A to B, then the number of students in each room is the same. If 48 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;224;216;200;238;B,,,,,,,,
If a - b = 2 and a² + b² = 340, find the value of ab.;165;162;168;176;C,,,,,,,,
The salaries A, B, and C are in the ratio 2:6:8. If increments of 15%, 50%, and 30% are allowed in their salaries, then what will be the new ratio of their salaries?;24:90:104;23:90:104;23:89:104;24:91:104;B,,,,,,,,
A flagstaff 22 m high casts a shadow of length 55 m. The height of a building, which casts a shadow of length 75 m under similar conditions, will be:;31.5 m;32.5 m;30 m;27.5 m;C,,,,,,,,
The price of commodity X increases by 38 paise every year, while the price of commodity Y increases by 13 paise every year. If in 2004, the price of commodity X was Rs. 4.64 and that of Y was Rs. 6.83, in which year will commodity X cost 6 paise more than commodity Y?;2016;2014;2013;2012;C,,,,,,,,
There are two examination rooms A and B. If 25 students are sent from A to B, then the number of students in each room is the same. If 47 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;230;241;231;252;B,,,,,,,,
If a - b = 19 and a² + b² = 865, find the value of ab.;242;252;259;258;B,,,,,,,,
The salaries A, B, and C are in the ratio 1:8:9. If increments of 50%, 10%, and 50% are allowed in their salaries, then what will be the new ratio of their salaries?;16:88:135;15:88:135;18:90:136;15:87:135;B,,,,,,,,
A flagstaff 24 m high casts a shadow of length 48 m. The height of a building, which casts a shadow of length 34 m under similar conditions, will be:;14.5 m;18.5 m;19.5 m;17 m;D,,,,,,,,
The price of commodity X increases by 45 paise every year, while the price of commodity Y increases by 12 paise every year. If in 2008, the price of commodity X was Rs. 5.47 and that of Y was Rs. 6.86, in which year will commodity X cost 191 paise more than commodity Y?;2018;2017;2015;2019;A,,,,,,,,
There are two examination rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 48 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;223;184;201;172;B,,,,,,,,
If a - b = 11 and a² + b² = 673, find the value of ab.;278;276;258;270;B,,,,,,,,
The salaries A, B, and C are in the ratio 1:6:9. If increments of 25%, 30%, and 40% are allowed in their salaries, then what will be the new ratio of their salaries?;26:156:252;25:155:252;25:153:249;25:156:252;D,,,,,,,,
A flagstaff 21 m high casts a shadow of length 52.5 m. The height of a building, which casts a shadow of length 62.5 m under similar conditions, will be:;26.5 m;25 m;23 m;22.5 m;B,,,,,,,,
The price of commodity X increases by 33 paise every year, while the price of commodity Y increases by 17 paise every year. If in 1995, the price of commodity X was Rs. 4.49 and that of Y was Rs. 5.82, in which year will commodity X cost 75 paise more than commodity Y?;2008;2009;2007;2012;A,,,,,,,,
There are two examination rooms A and B. If 50 students are sent from A to B, then the number of students in each room is the same. If 21 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;275;251;263;284;C,,,,,,,,
If a - b = 11 and a² + b² = 325, find the value of ab.;87;104;102;96;C,,,,,,,,
The salaries A, B, and C are in the ratio 2:3:8. If increments of 10%, 10%, and 25% are allowed in their salaries, then what will be the new ratio of their salaries?;19:34:104;22:33:100;22:32:100;23:33:100;B,,,,,,,,
A flagstaff 22 m high casts a shadow of length 26.4 m. The height of a building, which casts a shadow of length 21.6 m under similar conditions, will be:;19.5 m;15.5 m;21 m;18 m;D,,,,,,,,
The price of commodity X increases by 49 paise every year, while the price of commodity Y increases by 20 paise every year. If in 1997, the price of commodity X was Rs. 2.95 and that of Y was Rs. 5.73, in which year will commodity X cost 12 paise more than commodity Y?;2006;2008;2007;2010;C,,,,,,,,
There are two examination rooms A and B. If 17 students are sent from A to B, then the number of students in each room is the same. If 13 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;125;107;101;103;B,,,,,,,,
If a - b = 17 and a² + b² = 365, find the value of ab.;32;25;38;45;C,,,,,,,,
The salaries A, B, and C are in the ratio 5:6:8. If increments of 50%, 15%, and 50% are allowed in their salaries, then what will be the new ratio of their salaries?;25:23:40;26:23:40;25:22:40;27:20:40;A,,,,,,,,
A flagstaff 12 m high casts a shadow of length 14.4 m. The height of a building, which casts a shadow of length 39.6 m under similar conditions, will be:;30.5 m;34.5 m;36 m;33 m;D,,,,,,,,
The price of commodity X increases by 60 paise every year, while the price of commodity Y increases by 12 paise every year. If in 2006, the price of commodity X was Rs. 3.28 and that of Y was Rs. 6.21, in which year will commodity X cost 283 paise more than commodity Y?;2018;2021;2019;2017;A,,,,,,,,
There are two examination rooms A and B. If 47 students are sent from A to B, then the number of students in each room is the same. If 19 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;228;264;245;224;C,,,,,,,,
If a - b = 8 and a² + b² = 914, find the value of ab.;421;429;425;419;C,,,,,,,,
The salaries A, B, and C are in the ratio 6:8:9. If increments of 50%, 40%, and 15% are allowed in their salaries, then what will be the new ratio of their salaries?;180:223:207;180:224:207;184:226:210;181:224:207;B,,,,,,,,
A flagstaff 13 m high casts a shadow of length 15.6 m. The height of a building, which casts a shadow of length 39.6 m under similar conditions, will be:;34.5 m;30.5 m;33 m;35 m;C,,,,,,,,
The price of commodity X increases by 56 paise every year, while the price of commodity Y increases by 21 paise every year. If in 2007, the price of commodity X was Rs. 4.44 and that of Y was Rs. 5.53, in which year will commodity X cost 206 paise more than commodity Y?;2014;2015;2016;2017;C,,,,,,,,
There are two examination rooms A and B. If 27 students are sent from A to B, then the number of students in each room is the same. If 47 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;221;249;260;234;B,,,,,,,,
If a - b = 12 and a² + b² = 720, find the value of ab.;283;288;281;290;B,,,,,,,,
The salaries A, B, and C are in the ratio 2:3:7. If increments of 40%, 25%, and 40% are allowed in their salaries, then what will be the new ratio of their salaries?;56:75:196;57:75:196;56:74:196;57:72:198;A,,,,,,,,
A flagstaff 29 m high casts a shadow of length 34.8 m. The height of a building, which casts a shadow of length 44.4 m under similar conditions, will be:;38.5 m;37 m;35.5 m;34.5 m;B,,,,,,,,
The price of commodity X increases by 33 paise every year, while the price of commodity Y increases by 21 paise every year. If in 2010, the price of commodity X was Rs. 5.91 and that of Y was Rs. 7.14, in which year will commodity X cost 9 paise more than commodity Y?;2021;2020;2022;2019;A,,,,,,,,
There are two examination rooms A and B. If 17 students are sent from A to B, then the number of students in each room is the same. If 49 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;208;215;221;200;B,,,,,,,,
If a - b = 8 and a² + b² = 130, find the value of ab.;14;43;33;31;C,,,,,,,,
The salaries A, B, and C are in the ratio 3:5:9. If increments of 50%, 40%, and 30% are allowed in their salaries, then what will be the new ratio of their salaries?;45:69:117;45:70:117;50:69:122;46:70:117;B,,,,,,,,
A flagstaff 12 m high casts a shadow of length 36 m. The height of a building, which casts a shadow of length 69 m under similar conditions, will be:;25 m;24.5 m;23 m;20.5 m;C,,,,,,,,
The price of commodity X increases by 45 paise every year, while the price of commodity Y increases by 11 paise every year. If in 2011, the price of commodity X was Rs. 5.91 and that of Y was Rs. 7.83, in which year will commodity X cost 12 paise more than commodity Y?;2018;2016;2015;2017;D,,,,,,,,
There are two examination rooms A and B. If 18 students are sent from A to B, then the number of students in each room is the same. If 34 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;186;174;166;150;B,,,,,,,,
If a - b = 2 and a² + b² = 164, find the value of ab.;80;86;85;70;A,,,,,,,,
The salaries A, B, and C are in the ratio 4:5:8. If increments of 40%, 15%, and 50% are allowed in their salaries, then what will be the new ratio of their salaries?;112:115:240;112:114:240;111:113:239;113:115:240;A,,,,,,,,
A flagstaff 29 m high casts a shadow of length 34.8 m. The height of a building, which casts a shadow of length 40.8 m under similar conditions, will be:;31.5 m;32 m;35.5 m;34 m;D,,,,,,,,
The price of commodity X increases by 34 paise every year, while the price of commodity Y increases by 19 paise every year. If in 1996, the price of commodity X was Rs. 3.12 and that of Y was Rs. 6.07, in which year will commodity X cost 5 paise more than commodity Y?;2020;2015;2016;2017;C,,,,,,,,
There are two examination rooms A and B. If 27 students are sent from A to B, then the number of students in each room is the same. If 37 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;200;219;225;189;B,,,,,,,,
If a - b = 17 and a² + b² = 1445, find the value of ab.;578;595;568;581;A,,,,,,,,
The salaries A, B, and C are in the ratio 2:4:7. If increments of 25%, 10%, and 20% are allowed in their salaries, then what will be the new ratio of their salaries?;23:47:85;25:43:84;25:44:84;26:44:84;C,,,,,,,,
A flagstaff 26 m high casts a shadow of length 59.8 m. The height of a building, which casts a shadow of length 103.5 m under similar conditions, will be:;46.5 m;47.5 m;45 m;42.5 m;C,,,,,,,,
The price of commodity X increases by 49 paise every year, while the price of commodity Y increases by 20 paise every year. If in 2013, the price of commodity X was Rs. 2.91 and that of Y was Rs. 4.12, in which year will commodity X cost 111 paise more than commodity Y?;2018;2021;2020;2022;B,,,,,,,,
There are two examination rooms A and B. If 8 students are sent from A to B, then the number of students in each room is the same. If 42 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;168;148;146;158;D,,,,,,,,
If a - b = 20 and a² + b² = 1168, find the value of ab.;388;380;384;392;C,,,,,,,,
The salaries A, B, and C are in the ratio 5:8:9. If increments of 10%, 40%, and 30% are allowed in their salaries, then what will be the new ratio of their salaries?;55:112:117;56:112:117;55:113:120;55:111:117;A,,,,,,,,
A flagstaff 28 m high casts a shadow of length 70 m. The height of a building, which casts a shadow of length 100 m under similar conditions, will be:;41.5 m;37.5 m;42.5 m;40 m;D,,,,,,,,
The price of commodity X increases by 42 paise every year, while the price of commodity Y increases by 15 paise every year. If in 2005, the price of commodity X was Rs. 2.48 and that of Y was Rs. 3.90, in which year will commodity X cost 20 paise more than commodity Y?;2011;2008;2010;2012;A,,,,,,,,
There are two examination rooms A and B. If 23 students are sent from A to B, then the number of students in each room is the same. If 12 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;128;113;148;135;A,,,,,,,,
The salaries A, B, and C are in the ratio 5:6:7. If increments of 25%, 20%, and 30% are allowed in their salaries, then what will be the new ratio of their salaries?;122:148:179;126:144:182;125:144:182;125:143:182;C,,,,,,,,
A flagstaff 14 m high casts a shadow of length 16.8 m. The height of a building, which casts a shadow of length 33.6 m under similar conditions, will be:;28 m;25.5 m;31 m;29.5 m;A,,,,,,,,
The price of commodity X increases by 38 paise every year, while the price of commodity Y increases by 11 paise every year. If in 2012, the price of commodity X was Rs. 4.84 and that of Y was Rs. 6.00, in which year will commodity X cost 208 paise more than commodity Y?;2024;2023;2025;2026;A,,,,,,,,
There are two examination rooms A and B. If 39 students are sent from A to B, then the number of students in each room is the same. If 16 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;204;221;196;236;A,,,,,,,,
If a - b = 20 and a² + b² = 592, find the value of ab.;102;96;88;91;B,,,,,,,,
The salaries A, B, and C are in the ratio 1:5:9. If increments of 10%, 25%, and 25% are allowed in their salaries, then what will be the new ratio of their salaries?;23:125:225;22:130:224;22:124:225;22:125:225;D,,,,,,,,
A flagstaff 11 m high casts a shadow of length 19.8 m. The height of a building, which casts a shadow of length 75.6 m under similar conditions, will be:;42 m;43.5 m;39.5 m;44 m;A,,,,,,,,
The price of commodity X increases by 49 paise every year, while the price of commodity Y increases by 25 paise every year. If in 1995, the price of commodity X was Rs. 5.57 and that of Y was Rs. 7.57, in which year will commodity X cost 16 paise more than commodity Y?;2003;2005;2002;2004;D,,,,,,,,
There are two examination rooms A and B. If 47 students are sent from A to B, then the number of students in each room is the same. If 28 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;252;272;280;286;B,,,,,,,,
If a - b = 20 and a² + b² = 1258, find the value of ab.;426;435;429;430;C,,,,,,,,
The salaries A, B, and C are in the ratio 2:3:5. If increments of 40%, 15%, and 20% are allowed in their salaries, then what will be the new ratio of their salaries?;56:69:120;59:72:122;57:69:120;56:68:120;A,,,,,,,,
A flagstaff 25 m high casts a shadow of length 75 m. The height of a building, which casts a shadow of length 69 m under similar conditions, will be:;26 m;23 m;24.5 m;20.5 m;B,,,,,,,,
